LABELS
SEPARATOR SPACE
OR729076 Colorado_2021__OR729076
OR729077 Colorado_2021__OR729077
OR729078 Colorado_2021__OR729078
OR729079 Colorado_2021__OR729079
OR729080 Colorado_2021__OR729080
OR729081 Colorado_2021__OR729081
OR729082 Colorado_2021__OR729082
OR729083 Colorado_2021__OR729083
OR729084 Colorado_2021__OR729084
OR729085 Colorado_2021__OR729085
OR729086 Colorado_2021__OR729086
OR729087 Colorado_2021__OR729087
OR729088 Colorado_2021__OR729088
OR729089 Colorado_2021__OR729089
OR729090 Colorado_2021__OR729090
OR729091 Colorado_2021__OR729091
OR729092 Colorado_2021__OR729092
OR820563 Illinois_1908__OR820563
OR820570 Illinois_1930__OR820570
OR820576 Minnesota_1919__OR820576
OR820589 Pennsylvania_1963__OR820589
OR820597 California_2000__OR820597
OR820601 California_2011__OR820601
SRX10234776_RNA3 Australia_2018__SRX10234776_RNA3
SRX10234777_RNA3 Australia_2018__SRX10234777_RNA3
SRX10234778_RNA3 Australia_2018__SRX10234778_RNA3
SRX10234779_RNA3 Australia_2018__SRX10234779_RNA3
SRX10234780_RNA3 Australia_2018__SRX10234780_RNA3
SRX10234781_RNA3 Australia_2018__SRX10234781_RNA3
SRX10234782_RNA3 Australia_2018__SRX10234782_RNA3
SRX10234784_RNA3 Australia_2018__SRX10234784_RNA3
SRX10234785_RNA3 Australia_2018__SRX10234785_RNA3
SRX10234786_RNA3 Australia_2018__SRX10234786_RNA3
SRX10234787_RNA3 Australia_2018__SRX10234787_RNA3
SRX10234788_RNA3 Australia_2018__SRX10234788_RNA3
SRX10234789_RNA3 Australia_2018__SRX10234789_RNA3
SRX10234790_RNA3 Australia_2018__SRX10234790_RNA3
