1020-G3	1020-G3.filt.sam	PQ624882	2332	24	0.990
1020-G3	1020-G3.filt.sam	PQ625092	258	12	0.956
500-M-61-2	500-M-61-2.filt.sam	PQ624966	2288	68	0.971
500-M-61-2	500-M-61-2.filt.sam	PQ625159	44	1	0.978
500-M-61-2	500-M-61-2.filt.sam	PQ625069	3004	211	0.934
500-M-61-2	500-M-61-2.filt.sam	PQ624857	2864	31	0.989
Peach-13-H7	Peach-13-H7.filt.sam	PQ624937	30		1.000
Peach-13-H7	Peach-13-H7.filt.sam	PQ625040	103	1	0.990
Peach-13-H7	Peach-13-H7.filt.sam	PQ624936	93	2	0.979
Peach-13-H7	Peach-13-H7.filt.sam	PQ625141	77	1	0.987
Peach-13-H7	Peach-13-H7.filt.sam	PQ625199	63	2	0.969
1020-M-0818-A10	1020-M-0818-A10.filt.sam	PQ624887	2739	24	0.991
1020-M-0818-A10	1020-M-0818-A10.filt.sam	PQ624994	2470	59	0.977
1020-M-0818-A10	1020-M-0818-A10.filt.sam	PQ625097	246	6	0.976
ME-M-8	ME-M-8.filt.sam	PQ625126	78	1	0.987
ME-M-8	ME-M-8.filt.sam	PQ625025	212	2	0.991
ME-M-8	ME-M-8.filt.sam	PQ624920	151		1.000
Peach-8-F7	Peach-8-F7.filt.sam	PQ625037	11821	219	0.982
Peach-8-F7	Peach-8-F7.filt.sam	PQ625138	9479	329	0.966
Peach-8-F7	Peach-8-F7.filt.sam	PQ624933	7522	124	0.984
Penn-F-4	Penn-F-4.filt.sam	PQ625145	304		1.000
Penn-F-4	Penn-F-4.filt.sam	PQ624941	294		1.000
Penn-F-4	Penn-F-4.filt.sam	PQ625044	4875	122	0.976
Penn-F-4	Penn-F-4.filt.sam	PQ625204	158		1.000
Penn-F-4	Penn-F-4.filt.sam	PQ624942	9795	105	0.989
Penn-F-4	Penn-F-4.filt.sam	PQ625045	778	5	0.994
Penn-F-4	Penn-F-4.filt.sam	PQ625144	898	85	0.914
1020-F1	1020-F1.filt.sam	PQ624873	382	4	0.990
