isolate,id,accession
ME-M-10,Maine_2023_PQ625026,PQ625026
ME-M-11,Maine_2023_PQ625027,PQ625027
ME-M-14,Maine_2023_PQ625028,PQ625028
ME-M-17,Maine_2023_PQ625029,PQ625029
ME-M-18,Maine_2023_PQ625030,PQ625030
ME-M-19,Maine_2023_PQ625031,PQ625031
ME-M-20,Maine_2023_PQ625032,PQ625032
Myrtle-D5,Colorado_2023_PQ625033,PQ625033
Myrtle-D11,Colorado_2023_PQ625034,PQ625034
Myrtle-E9,Colorado_2023_PQ625035,PQ625035
OH-M-5,Ohio_2023_PQ625036,PQ625036
Peach-8-F7,Unknown_2023_PQ625037,PQ625037
Peach-9-F8,Unknown_2023_PQ625038,PQ625038
Peach-10-F10,Unknown_2023_PQ625039,PQ625039
Peach-13-H7,Unknown_2023_PQ625040,PQ625040
Penn-F-1,Pennsylvania_2023_PQ625041,PQ625041
Penn-F-2,Pennsylvania_2023_PQ625042,PQ625042
Penn-F-3,Pennsylvania_2023_PQ625043,PQ625043
Penn-F-4,Pennsylvania_2023_PQ625044,PQ625044
Penn-F-4,Pennsylvania_2023_PQ625045,PQ625045
Penn-F-6,Pennsylvania_2023_PQ625046,PQ625046
Penn-F-6,Pennsylvania_2023_PQ625047,PQ625047
Penn-F-9,Pennsylvania_2023_PQ625048,PQ625048
Penn-F-12,Pennsylvania_2023_PQ625049,PQ625049
Penn-M-2,Pennsylvania_2023_PQ625050,PQ625050
Penn-M-8,Pennsylvania_2023_PQ625051,PQ625051
Penn-M-10,Pennsylvania_2023_PQ625052,PQ625052
Penn-M-11,Pennsylvania_2023_PQ625053,PQ625053
Penn-M-14,Pennsylvania_2023_PQ625054,PQ625054
Penn-M-15,Pennsylvania_2023_PQ625055,PQ625055
ME-M-3,Maine_2023_PQ625056,PQ625056
2008_Australia_MEL216G,Australia_2008_MH384336,MH384336
2008_Australia_MEL193G,Australia_2008_MH384354,MH384354
2008_Australia_MEL191G,Australia_2008_MH384361,MH384361
2008_Australia_MEL163G,Australia_2008_MH384365,MH384365
2008_Australia_MEL187G,Australia_2008_MH384373,MH384373
2008_Australia_MEL195G,Australia_2008_MH384379,MH384379
2017_Colorado,Colorado_2017_MT742161,MT742161
2018_Colorado,Colorado_2018_MT742165,MT742165
2020_Colorado_AG_FoCo20_1,Colorado_2020_OR729037,OR729037
2020_Colorado_TD_FoCo20_1,Colorado_2020_OR729038,OR729038
2020_Colorado_TD_FoCo20_2,Colorado_2020_OR729039,OR729039
2020_Colorado_TD_FoCo20_3,Colorado_2020_OR729040,OR729040
2020_Colorado_TD_FoCo20_5,Colorado_2020_OR729041,OR729041
2020_Colorado_TD_FoCo20_6,Colorado_2020_OR729042,OR729042
2021_Colorado_LK_FoCo21_1,Colorado_2021_OR729043,OR729043
2021_Colorado_LK_FoCo21_6,Colorado_2021_OR729044,OR729044
2021_Colorado_MD_FoCo21_1,Colorado_2021_OR729045,OR729045
2021_Colorado_MD_FoCo21_2,Colorado_2021_OR729046,OR729046
2021_Colorado_MD_FoCo21_3,Colorado_2021_OR729047,OR729047
2021_Colorado_MD_FoCo21_4,Colorado_2021_OR729048,OR729048
2021_Colorado_MD_FoCo21_5,Colorado_2021_OR729049,OR729049
2021_Colorado_MD_FoCo21_6,Colorado_2021_OR729050,OR729050
2021_Colorado_MD_FoCo21_7,Colorado_2021_OR729051,OR729051
2021_Colorado_MD_FoCo21_8,Colorado_2021_OR729052,OR729052
2021_Colorado_MD_FoCo21_9,Colorado_2021_OR729053,OR729053
2021_Colorado_MD_FoCo21_10,Colorado_2021_OR729054,OR729054
2021_Colorado_MD_FoCo21_11,Colorado_2021_OR729055,OR729055
2021_Colorado_MD_FoCo21_12,Colorado_2021_OR729056,OR729056
2021_Colorado_MD_FoCo21_13,Colorado_2021_OR729057,OR729057
2021_Colorado_MD_FoCo21_15,Colorado_2021_OR729058,OR729058
2021_Colorado_MD_FoCo21_16,Colorado_2021_OR729059,OR729059
2021_Colorado_MD_FoCo21_17,Colorado_2021_OR729060,OR729060
2021_Colorado_MD_FoCo21_18,Colorado_2021_OR729061,OR729061
2021_Colorado_MD_FoCo21_19,Colorado_2021_OR729062,OR729062
2021_Colorado_MD_FoCo21_20,Colorado_2021_OR729063,OR729063
2021_Colorado_MD_FoCo21_21,Colorado_2021_OR729064,OR729064
1908_Illinois,Illinois_1908_OR820561,OR820561
1930_Illinois,Illinois_1930_OR820568,OR820568
1919_Minnesota,Minnesota_1919_OR820574,OR820574
1963_Pennsylvania,Pennsylvania_1963_OR820587,OR820587
2000_California,California_2000_OR820595,OR820595
2011_California,California_2011_OR820599,OR820599
2018_Australia_k119_2472,Australia_2018_PV185866,SRX10234776_RNA2
2018_Australia_k119_16819,Australia_2018_PV185868,SRX10234777_RNA2
2018_Australia_k119_15212,Australia_2018_PV185870,SRX10234778_RNA2
2018_Australia_k119_18395,Australia_2018_PV185872,SRX10234779_RNA2
2018_Australia_k119_21494,Australia_2018_PV185874,SRX10234780_RNA2
2018_Australia_k119_17720,Australia_2018_PV185876,SRX10234781_RNA2
2018_Australia_k119_3037,Australia_2018_PV185878,SRX10234782_RNA2
2018_Australia_k119_15592,Australia_2018_PV185881,SRX10234784_RNA2
2018_Australia_k119_4103,Australia_2018_PV185883,SRX10234785_RNA2
2018_Australia_k119_7000,Australia_2018_PV185885,SRX10234786_RNA2
2018_Australia_k119_17804,Australia_2018_PV185887,SRX10234787_RNA2
2018_Australia_k119_14538,Australia_2018_PV185889,SRX10234788_RNA2
2018_Australia_k119_15935,Australia_2018_PV185891,SRX10234789_RNA2
2018_Australia_k119_14665,Australia_2018_PV185893,SRX10234790_RNA2
