isolate,id,accession
2021_Colorado_MD_FoCo21_9,Colorado_2021_OR729081,OR729081
2021_Colorado_MD_FoCo21_10,Colorado_2021_OR729082,OR729082
2021_Colorado_MD_FoCo21_11,Colorado_2021_OR729083,OR729083
2021_Colorado_MD_FoCo21_12,Colorado_2021_OR729084,OR729084
2021_Colorado_MD_FoCo21_13,Colorado_2021_OR729085,OR729085
2021_Colorado_MD_FoCo21_15,Colorado_2021_OR729086,OR729086
2021_Colorado_MD_FoCo21_16,Colorado_2021_OR729087,OR729087
2021_Colorado_MD_FoCo21_17,Colorado_2021_OR729088,OR729088
2021_Colorado_MD_FoCo21_18,Colorado_2021_OR729089,OR729089
2021_Colorado_MD_FoCo21_19,Colorado_2021_OR729090,OR729090
2021_Colorado_MD_FoCo21_20,Colorado_2021_OR729091,OR729091
2021_Colorado_MD_FoCo21_21,Colorado_2021_OR729092,OR729092
1908_Illinois,Illinois_1908_OR820563,OR820563
1930_Illinois,Illinois_1930_OR820570,OR820570
1919_Minnesota,Minnesota_1919_OR820576,OR820576
1963_Pennsylvania,Pennsylvania_1963_OR820589,OR820589
2000_California,California_2000_OR820597,OR820597
2011_California,California_2011_OR820601,OR820601
2018_Australia_k119_2472,Australia_2018_PV185867,SRX10234776_RNA3
2018_Australia_k119_16819,Australia_2018_PV185869,SRX10234777_RNA3
2018_Australia_k119_15212,Australia_2018_PV185871,SRX10234778_RNA3
2018_Australia_k119_18395,Australia_2018_PV185873,SRX10234779_RNA3
2018_Australia_k119_21494,Australia_2018_PV185875,SRX10234780_RNA3
2018_Australia_k119_17720,Australia_2018_PV185877,SRX10234781_RNA3
2018_Australia_k119_3037,Australia_2018_PV185879,SRX10234782_RNA3
2018_Australia_k119_15592,Australia_2018_PV185882,SRX10234784_RNA3
2018_Australia_k119_4103,Australia_2018_PV185884,SRX10234785_RNA3
2018_Australia_k119_7000,Australia_2018_PV185886,SRX10234786_RNA3
2018_Australia_k119_17804,Australia_2018_PV185888,SRX10234787_RNA3
2018_Australia_k119_14538,Australia_2018_PV185890,SRX10234788_RNA3
2018_Australia_k119_15935,Australia_2018_PV185892,SRX10234789_RNA3
2018_Australia_k119_14665,Australia_2018_PV185894,SRX10234790_RNA3
