sample_id	count_type	count
500-M-6	initial	46257644
500-M-F9	post_trimming	81368588
Adobe-B8	initial	92990588
ME-M-19	post_trimming	141245576
500-M-40	initial	85088908
Penn-F-3	initial	116006548
Penn-M-15	initial	143496864
mel-21-MDS-9	post_trimming	54847576
500-M-100	initial	66363324
CVID-1006-G6	post_trimming	104411120
500-M-61	initial	60888020
ME-M-18	initial	232487636
ME-F-2	post_trimming	94570208
mel-20-AG-5	post_trimming	146045040
ME-M-2	initial	50930988
ME-M-6	post_trimming	34992332
CVID-1006-G6	initial	106153212
500-M-84	post_trimming	96581168
1428-M-6	post_trimming	56558872
Penn-F-1	post_trimming	42367248
ME-M-8	post_trimming	152095892
500-M-84	initial	98015288
Penn-F-2	initial	145924176
Adobe-C1	initial	127712088
500-F-21	initial	84280952
Myrtle-E10	post_trimming	69604676
Peach-11-F11	initial	102464760
1020-F8	initial	79830592
1020-F-31	initial	81485512
1428-M-4	initial	71364776
500-M-54	initial	53459500
Adobe-B4	initial	115744848
1020-F6	initial	9330336
1020-H7	post_trimming	78297080
500-M-F11	post_trimming	99633264
Peach-9-F8	initial	73826708
Myrtle-D5	post_trimming	114639608
Peach-2-B4	initial	25135612
1020-C1	post_trimming	84111116
1020-G1	initial	79040712
Adobe-C2	initial	118668740
OH-M-5	initial	57958568
Myrtle-D11	initial	134076992
Myrtle-D5	initial	116861420
500-M-16	post_trimming	82757520
ME-M-14	initial	145697328
1020-M-19	post_trimming	82374384
